Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","CP_Radial_D5.0mm_P2.00mm",118.000000,-61.000000,0.000000,top
"C2","220u","CP_Radial_D5.0mm_P2.00mm",118.000000,-69.000000,0.000000,top
"C3","1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",119.437500,-77.000000,0.000000,top
"C4","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",107.000000,-98.500000,180.000000,top
"C5","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",107.000000,-92.000000,180.000000,top
"D1","LED","LED_D5.0mm",178.025000,-104.250000,180.000000,top
"D2","LED","LED_D5.0mm",178.250000,-96.000000,180.000000,top
"D3","LED","LED_D5.0mm",178.250000,-88.500000,180.000000,top
"D4","11DQ06","D_DO-41_SOD81_P12.70mm_Horizontal",141.750000,-62.750000,180.000000,top
"D5","LED","LED_D5.0mm",178.250000,-80.500000,180.000000,top
"J1","Screw_Terminal_01x02","TerminalBlock_MetzConnect_Type011_RT05502HBLC_1x02_P5.00mm_Horizontal",108.117500,-72.250000,90.000000,top
"L1","330u","L_Radial_D7.2mm_P3.00mm_Murata_1700",141.750000,-52.000000,0.000000,top
"R1","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",184.420000,-104.250000,0.000000,top
"R2","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",184.420000,-96.000000,0.000000,top
"R3","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",184.420000,-88.500000,0.000000,top
"R4","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",184.420000,-80.500000,0.000000,top
"R5","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",177.000000,-50.000000,0.000000,top
"R6","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",177.000000,-54.000000,0.000000,top
"R7","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",126.750000,-69.000000,0.000000,top
"R8","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",177.000000,-58.000000,0.000000,top
"R9","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",155.000000,-73.500000,0.000000,top
"R10","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",134.500000,-93.000000,0.000000,top
"R11","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",163.250000,-73.500000,0.000000,top
"R12","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",169.000000,-78.750000,0.000000,top
"R13","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",119.250000,-81.250000,0.000000,top
"R14","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",177.000000,-62.000000,0.000000,top
"R15","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",134.500000,-87.500000,0.000000,top
"R16","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",177.000000,-66.000000,0.000000,top
"R17","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",177.000000,-70.000000,0.000000,top
"R18","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",177.000000,-74.000000,0.000000,top
"R19","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",132.500000,-106.000000,180.000000,top
"R20","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",107.000000,-105.500000,180.000000,top
"SW1","SW_Push","SW_PUSH_6mm_H4.3mm",105.000000,-79.000000,0.000000,top
"SW2","SW_SPDT_312","SW_Slide_SPDT_Straight_CK_OS102011MS2Q",136.000000,-77.500000,0.000000,top
"U1","LM2574N-5","DIP-8_W7.62mm_Socket_LongPads",124.690000,-48.190000,0.000000,top
"U2","4027","DIP-16_W7.62mm_Socket_LongPads",145.130000,-86.800000,0.000000,top
"U3","4027","DIP-16_W7.62mm_Socket_LongPads",159.440000,-86.860000,0.000000,top
"U4","74LS47","DIP-16_W7.62mm_Socket_LongPads",155.690000,-49.110000,0.000000,top
"U5","HDSP-7401","HDSP-7401",187.532500,-62.982500,0.000000,top
"U6","74LVC1G11","SOT-23-6",157.750000,-80.000000,0.000000,top
"U7","NE555P","DIP-8_W7.62mm",116.000000,-93.380000,0.000000,top
